Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
194,d,a,c,a,0,1,1,ea,e,0.5,0,1,0.5,fd,0.5,0.5,0,,,,0.5,0.5,0,d,b,0,0.75,0.8,0.75,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,0.25,0.5,0.5,0.25,1913,____ K190 R74K059A (0:40-2:57),Ryukyu (Okinawa),NHK (1944-1994),___________________,K190,____,blue,-0.114348954,-0.183528033
195,d,a,c,a,0.5,0.5,0.5,ea,e,0.5,0,1,1,fd,0.5,0.5,0,,,,0.5,0.5,1,d,c,0,0.75,0.8,0.75,0.4,0.25,1,1,1,1,0.25,0,0.25,0.5,0.75,0.25,1912,____ K198 R74K059A (16:34-19:21),Ryukyu (Okinawa),NHK (1944-1994),___________________,K198,____,blue,-0.072454951,-0.219324936
196,d,a,c,a,0.5,0.5,0.5,e,a,0.5,0,0.5,1,fe,0.5,0.5,0,,,,0.5,0.5,1,d,a,,0.5,0.8,0.75,0.8,0.5,1,1,1,1,0.5,0.333333333,0.25,0.5,0.5,0.25,1877,___K208A R74K041A (12:49-13:47),Ryukyu (Okinawa),NHK (1944-1994),___________________,K208A,__,blue,-0.026368513,-0.135770998
197,d,a,c,a,0.5,0.5,0.5,e,e,0.5,1,0.5,1,fe,0.5,0.5,0,,,,0.5,1,1,d,a,,0.5,0.8,0.5,0.8,0.75,1,0.666666667,1,1,0.25,0,0,0.5,0.5,0.5,1871,________K225A R74K041A (21:32-22:42),Ryukyu (Okinawa),NHK (1944-1994),___________________,K225A,_______,blue,-0.015974956,-0.182766839
198,db,a,c,a,0,1,0.5,ea,e,0.5,1,1,1,fe,0,0.5,0,,,,0.5,0.5,1,d,a,,0.5,0.8,0.75,0.6,0.5,1,1,1,1,0.25,0,0.25,0.25,0.75,0.5,1839,_____K227A R74K041A (15:54-16:33),Ryukyu (Okinawa),NHK (1944-1994),___________________,K227A,____,blue,-0.08571993,-0.12227444
199,b,,,,,0.5,0.5,e,e,1,1,0.5,1,fe,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.5,0.333333333,0.666666667,1,1,0.25,0,0.25,0.5,0.5,0.5,1861,_____K232 R73K063A (3:16-3:35),Ryukyu (Okinawa),NHK (1944-1994),___________________,K232,____,purple,0.113338376,-0.044991585
200,db,a,c,a,0,0.5,0.5,e,a,0.5,0,0.5,0.5,fe,0,0,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.25,0.666666667,1,1,1,0.75,0.333333333,0.5,0.75,0.75,0.25,1863,______K236 R73K063B (2:05-2:50),Ryukyu (Okinawa),NHK (1944-1994),___________________,K236,_____,yellow,0.007766093,-0.017066239
201,b,,,,,0.5,1,e,e,1,0.5,1,0.5,ef,0.5,0,0,,,,0.5,0.5,1,db,a,,0.5,0.6,0.75,0.6,0.5,0.666666667,0.666666667,1,1,0.25,0,0.25,0.75,0.75,0.5,1845,____K239 R74K034B (42:50-43:45),Ryukyu (Okinawa),NHK (1944-1994),___________________,K239,___,purple,0.096478916,-0.101785063
202,d,a,c,a,0,0.5,1,e,e,1,0.5,0.5,1,fe,0.5,0.5,0,,,,0.5,0.5,0,d,a,,0.75,0.8,0.75,0.4,0.5,0.666666667,1,1,1,0.25,0,0.25,0.5,0.75,0.5,1907,___ K36 R74K017B (1:08-4:46),Ryukyu (Okinawa),NHK (1944-1994),___________________,K36,___,blue,-0.044111706,-0.162162489
203,d,a,c,a,0,0,1,e,e,1,0.5,0.5,1,fe,0.5,0.5,0,,,,0.5,1,0,d,a,,0.5,0.6,0.5,0.4,0.5,0.666666667,0.333333333,1,1,0,0,0.25,0.5,0.75,0.5,1895,___ K39 R74K017B (10-21:15:00),Ryukyu (Okinawa),NHK (1944-1994),___________________,K39,___,blue,-0.008264178,-0.165718218
204,d,a,c,a,0,0.5,0.5,e,e,1,1,0.5,1,ef,0.5,0,0,,,,0.5,1,0.5,dc,ab,0,0.5,0.6,0.75,0.4,0.5,0.666666667,0.666666667,1,1,0.25,0,0.25,0.5,0.5,0.5,1893,___ K41 R74K017A (6:16-10:02),Ryukyu (Okinawa),NHK (1944-1994),___________________,K41,___,blue,-0.017505506,-0.200156252
205,d,a,c,a,0,0.5,1,e,e,1,0.5,1,1,ef,0.5,0.5,0,,,,0.5,1,1,d,a,,0.5,0.6,0.75,0.4,0.5,1,0.666666667,1,1,0.25,0,0.25,0.5,0.5,0.5,1899,___ K42 R74K017A (14:18-17:41),Ryukyu (Okinawa),NHK (1944-1994),___________________,K42,___,blue,-0.017557844,-0.193949296
206,ba,,,,,0.5,1,e,e,0.5,0.5,0.5,0.5,ef,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.4,0.25,0.333333333,0.666666667,1,1,0.75,0.333333333,0.5,0.25,0.75,0.5,1908,__________ K49 R73K051A (3:35-7:36),Ryukyu (Okinawa),NHK (1944-1994),___________________,K49,__________,purple,0.133893396,0.008254048
207,d,a,c,a,0,0.5,0.5,c,,,0.5,0.5,1,fc,0.5,0,0,,,,0.5,0.5,0,d,a,,0.75,0.8,0.75,0.4,0.25,0.666666667,1,1,1,0.5,0,0.5,0.75,0.75,0.5,1906,______ K69 R74K015A (1:25-3:40),Ryukyu (Okinawa),NHK (1944-1994),___________________,K69,______,blue,-0.089700707,-0.123718358
208,d,a,c,a,0,1,0.5,e,e,1,1,0.5,1,fe,0.5,0.5,0,,,,0.5,0.5,1,c,b,0,0.75,0.8,0.75,0.6,0.5,1,0.666666667,1,1,0.25,0,0,0.5,0.25,0.5,1911,____ K79 R74K015A (31:15-32:27),Ryukyu (Okinawa),NHK (1944-1994),___________________,K79,____,blue,-0.092813145,-0.257408605
209,d,a,c,b,0.5,1,0.5,e,a,0.5,0.5,0.5,1,f,0,0.5,0,,,,0.5,0,0,a,a,,,,1,0.6,0.25,1,1,1,1,0.5,0.333333333,0.5,0.75,0.5,0.5,1909,____ K81 R73K060B (19:50-20:32),Ryukyu (Okinawa),NHK (1944-1994),___________________,K81,____,yellow,-0.088865527,-0.041882263
210,d,a,c,b,0.5,1,0.5,e,e,1,0.5,0.5,1,ef,0,0,0,,,,0.5,0.5,0,a,a,,,,0.75,0.8,0.5,1,1,1,1,0.25,0.333333333,0.5,0.5,0.5,0.25,1894,_____K88  R73K060B (24:39-25:35),Ryukyu (Okinawa),NHK (1944-1994),___________________,K88,____,blue,-0.064651946,-0.076580824
211,d,a,c,a,1,0.5,1,e,e,0.5,0.5,0.5,0.5,fe,0.5,0,0,,,,0.5,1,1,a,c,0.5,,,0.5,0.4,0.75,1,0.666666667,0.5,0.5,0.25,0,0.5,0.5,0.75,0.5,1683,______ (006.13),Ryukyu (Yaeyama),NHK (1944-1994),_________________,41438,______,blue,0.044298702,-0.153478245
212,d,a,c,a,1,0.5,1,e,a,0.5,0,0.5,1,fe,1,0,0,,,,0.5,1,0.5,a,a,,,,0.75,0.4,0.5,1,1,1,0.5,0.5,0.333333333,0.25,0.5,0.5,0.25,1765,____ 006-01 (R74Y063A (4:35-7:23),Ryukyu (Yaeyama),NHK (1944-1994),_________________,006-01,____,purple,0.06560306,-0.119110609
213,b,,,,,0.5,0.5,e,e,0.5,1,1,1,fe,0.5,0.5,0,,,,0.5,1,1,d,cb,0,0.5,0.8,0.75,0.4,0.5,1,1,1,1,0.25,0,0.25,0.5,0.5,0.25,1834,______ (115-07) (R78Y001B 19:14-26:23),Ryukyu (Yaeyama),NHK (1944-1994),_________________,115-07,______,blue,0.070506979,-0.217225461
214,b,,,,,0.5,0.5,e,e,0.5,0.5,0.5,0.5,ef,0.5,0.5,0,,,,0.5,0.5,0,d,a,,0.5,0.8,0.5,0.6,0.5,0.666666667,0.666666667,1,1,0.25,0,0.25,0.5,0.5,0.25,1870,_______ _______R78Y003A (4:26-10:29),Ryukyu (Yaeyama),NHK (1944-1994),_________________,132-02,_______,blue,0.035211132,-0.077410449
215,ba,,,,,0,1,e,e,0.5,1,0.5,1,fe,1,0,0,,,,0,1,0.5,d,a,,0.5,0.6,0.5,0.4,0.5,0.333333333,1,1,1,0.25,0,0.25,0.5,0.75,0.25,1868,_______ 134-01 (R78Y003A 22:39-29:23),Ryukyu (Yaeyama),NHK (1944-1994),_________________,134-01,_______,purple,0.210181389,-0.133404232
216,ab,,,,,0.5,1,eb,ea,0.5,0.5,0.5,0.5,fd,1,0.5,0,,,,0.5,0.5,0,a,c,0.5,,,0.75,0.4,0.5,0.333333333,0.666666667,1,1,0.25,0,0.25,0.5,0.5,0.25,1823,_____ 155.07 (R78Y010A 21:43-29:00) ,Ryukyu (Yaeyama),NHK (1944-1994),_________________,155-07,_____,purple,0.095842976,-0.070789014
217,d,a,c,a,0,1,0.5,e,a,0.5,0,0.5,0.5,e,0,0.5,0,,,,1,0.5,0,a,a,,,,1,0.6,0.5,0.666666667,1,1,1,0.5,0.333333333,0.75,0.5,0.5,0.25,1876,_____ ______ R74Y055A (10:05-10:30),Ryukyu (Yaeyama),NHK (1944-1994),_________________,182-04,_____ ,yellow,-0.094264059,-0.026970027
218,d,a,c,a,0,0.5,0.5,e,e,0.5,1,1,1,fe,1,0,0,,,,0.5,0.5,0.5,d,a,,0.5,0.6,0.5,0.6,0.25,0.666666667,1,1,1,0.5,0,0.25,0.5,0.5,0.5,1716,_____________ (184-02A) (R74Y054B 28:20-35:31),Ryukyu (Yaeyama),NHK (1944-1994),_________________,184-02A,_____________,blue,-0.017092556,-0.175241501
219,d,a,c,b,0.5,0.5,0.5,e,a,0.5,1,0.5,0.5,fe,0.5,0,0,,,,0.5,0.5,0,c,ab,0,0.75,0.8,0.75,0.6,0.5,1,1,1,1,0.25,0.333333333,0.25,0.25,0.75,0.5,1828,_____ ______ R74Y046B (33:05-38:05),Ryukyu (Yaeyama),NHK (1944-1994),_________________,186-07,_____,blue,-0.03303972,-0.149289462
220,b,,,,,0.5,0.5,e,e,0.5,1,0.5,1,f,0.5,0,0,,,,0,0.5,0.5,c,a,,0.5,0.8,0.75,0.4,0.25,0.666666667,0.666666667,1,1,0.5,0.333333333,0.25,0.5,0.75,0.5,1744,____ (195-09) (R74Y212B 12:15-16:06),Ryukyu (Yaeyama),NHK (1944-1994),_________________,195-09,____,purple,0.08991813,-0.063327271
221,d,a,c,a,0,1,0.5,e,e,0.5,0,0.5,1,fe,0.5,0.5,0,,,,0.5,0.5,0,d,a,,0.75,0.8,0.75,0.4,0.5,0.666666667,1,1,1,0.25,0,0.25,0.5,0.5,0.25,1792,_______ (201-02) (R78Y038B 30:31-31:29),Ryukyu (Yaeyama),NHK (1944-1994),_________________,201-02,_______,blue,-0.079108253,-0.148740769
222,d,a,c,a,0,1,0,e,e,0.5,0,0,0.5,fe,0.5,0,0,,,,0.5,0,0.5,dc,b,0.5,0.75,0.8,0.75,0.6,0.5,1,1,1,1,0.25,0.333333333,0.25,0.5,0.25,0.25,1824,____ (202-01) (R74Y058B 21:47-23:27),Ryukyu (Yaeyama),NHK (1944-1994),_________________,202-01,____,blue,-0.132103763,-0.176451541
223,ab,,,,,0.5,1,ec,ae,1,0.5,0,1,f,0.5,0,0,,,,0,1,0.5,d,a,,0.75,0.8,0.75,0.4,0.5,0.333333333,1,1,1,0.5,0.333333333,0.5,0.5,0.75,0.25,1816,_____ (205.12) (R78Y041B 37:08-42:25),Ryukyu (Yaeyama),NHK (1944-1994),_________________,205-12,_____,purple,0.146607997,-0.061629567
224,d,a,c,a,0,0.5,1,e,e,1,1,0.5,1,fe,0.5,0,0,,,,0.5,0.5,0,d,a,,0.75,0.8,0.75,0.6,0.5,1,1,1,1,0.25,0,0.5,0.5,0.5,0.5,1848,______ (206.14) (R74Y058B 15:15-19:06),Ryukyu (Yaeyama),NHK (1944-1994),_________________,206-14,______,blue,-0.064721732,-0.169484425
225,a,,,,,0,1,e,a,0.5,0,0.5,0.5,fc,1,0,0,,,,0.5,1,1,a,c,0.5,,,0.5,,0.5,,1,1,1,0.25,0,0.25,0.75,0.75,0.25,1889,______ ______ R74Y222A (26:32-30:05),Ryukyu (Yaeyama),NHK (1944-1994),_________________,304-05,______,purple,0.197509816,-0.121521686
226,b,,,,,0.5,0.5,e,e,0.5,0,0.5,0.5,fe,0,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.25,0.333333333,1,1,0.5,0.5,0,0.25,0.5,0.75,0.5,1849,____________ R78Y060A (34:11-37:46),Ryukyu (Yaeyama),NHK (1944-1994),_________________,305-02,_____,green,0.078946232,0.006444671
227,d,a,c,b,1,0.5,0.5,e,e,0.5,0,0.5,0.5,fe,0,0,0,,,,1,1,0,a,a,,,,0.75,0.6,0.5,1,1,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,1859,___________ R74Y224A (03:39-06:39),Ryukyu (Yaeyama),NHK (1944-1994),_________________,306-01,____,yellow,-0.029766546,-0.042932826
228,bd,a,c,b,1,0.5,0.5,e,a,0.5,1,0.5,0.5,ef,0.5,0,0,,,,0.5,1,0.5,a,a,,,,0.75,0.8,0.75,1,1,1,1,0.25,0,0.25,0.5,0.5,0.25,1755,____ (306.08) (R74Y224A 7:15-13:30),Ryukyu (Yaeyama),NHK (1944-1994),_________________,306-08,____,purple,0.064587865,-0.073634736
229,a,,,,,0,1,e,a,0.5,0,0.5,1,f,1,0.5,0,,,,0,1,0.5,d,a,,0.5,0.4,0.25,,0.75,,0.666666667,1,1,0.5,0.333333333,0.25,0.5,0.75,0.5,1852,_________________R74Y110A (31:19-42:30),Ryukyu (Yaeyama),NHK (1944-1994),_________________,404-03,__________,purple,0.200774484,-0.091243683
230,b,,,,,0.5,0.5,e,e,0.5,0,0.5,1,fe,1,0.5,0,,,,0.5,1,1,a,c,0,,,0.5,0.4,0.5,0.666666667,1,1,1,0.25,0,0.25,0.5,0.5,0.25,1805,_______ (405-01) (R78Y067B 16:43-22:46),Ryukyu (Yaeyama),NHK (1944-1994),_________________,405-01,_______,purple,0.127009893,-0.145228852
231,d,a,c,a,0,0.5,0.5,e,a,1,0,0.5,1,fe,0.5,0,0,,,,0.5,0.5,0,a,a,,,,0.75,0.4,0.25,1,1,1,1,0.25,0,0.25,0.5,0.5,0.25,1886,___ _______R74Y192A (8:26-10:32),Ryukyu (Yaeyama),NHK (1944-1994),_________________,541-01,___,blue,-0.023049516,-0.108536116
232,d,a,c,a,0,1,0.5,e,d,0.5,0,0.5,0.5,ef,0,0,0,,,,1,0,0,a,a,,,,1,0.4,0.25,0.666666667,1,1,1,0.75,0.333333333,0.5,0.5,0.75,0.25,1858,_______________R74Y084B (20:56-22:11),Ryukyu (Yaeyama),NHK (1944-1994),_________________,543-05,_______,yellow,-0.095949302,-0.01852963
233,a,,,,,0,1,e,a,0.5,0,0.5,1,fe,1,0.5,0,,,,0.5,1,0.5,a,a,,,,0.5,,0.25,,1,1,1,0.25,0,0.25,0.5,0.75,0.5,1879,_________ (545-02) (R74Y176B 15:24-25:41),Ryukyu (Yaeyama),NHK (1944-1994),_________________,545-02,_________,purple,0.202744195,-0.074342173
234,d,a,c,a,1,0.5,0.5,e,e,1,0.5,0.5,1,fd,0.5,0,0,,,,0.5,1,0.5,a,a,,,,0.75,0.4,0.5,1,1,1,1,0.5,0.333333333,0.5,0.5,0.75,0.25,1850,____________R78Y077A (15:48-18:39),Ryukyu (Yaeyama),NHK (1944-1994),_________________,566-01,____,blue,0.01410249,-0.09533055
235,ba,,,,,0.5,0.5,e,a,0.5,0,1,0.5,ef,0.5,0,0,,,,0.5,1,0.5,a,a,,,,0.75,0.4,0.25,0.333333333,1,1,1,0.5,0.333333333,0.5,0.5,0.75,0.5,1825,__________________R74Y024A (0:50-5:10),Ryukyu (Yaeyama),NHK (1944-1994),_________________,584-02,__________,purple,0.130779086,-0.00127797
236,d,a,c,a,1,0.5,1,e,a,1,0.5,0.5,1,fe,0.5,0,0,,,,0.5,1,0.5,d,a,,1,1,0.75,0.6,0.5,1,1,1,1,0.5,0.666666667,0.5,0.75,0.5,0.25,1883,____________R78Y087B (16:57-21:40),Ryukyu (Yaeyama),NHK (1944-1994),_________________,706-03,____,blue,0.006041254,-0.153730615
237,ba,,,,,0,1,e,a,0.5,0,0.5,1,ef,0.5,0,0,,,,0.5,0.5,0,a,a,,,,0.5,0.6,0.5,0.333333333,1,1,0.5,0.25,0,0.25,0.5,0.5,0.25,1735,___________(805-06) (R78Y092B 19:08-19:49),Ryukyu (Yaeyama),NHK (1944-1994),_________________,805-06,___________,purple,0.1458531,-0.045044432
238,b,,,,,0.5,1,e,e,0.5,0.5,0.5,0.5,ef,0.5,0,0,,,,0.5,1,1,a,a,,,,0.5,0.6,0.5,0.666666667,0.666666667,1,1,0.5,0.333333333,0.25,0.5,0.75,0.5,1684,_____ (906.18),Ryukyu (Yaeyama),NHK (1944-1994),_________________,906-18,_____,purple,0.137462084,-0.04299921
239,a,,,,,0,1,e,a,0.5,0,0.5,0.5,f,0.5,0.5,0,,,,1,1,0,d,a,,0.5,0.6,0.75,,0.5,,1,1,1,0.5,0,0,0.5,0.75,0.5,1752,___ (906-22) (R78Y098B 24:25-29:20),Ryukyu (Yaeyama),NHK (1944-1994),_________________,906-22,___ ,purple,0.079980392,-0.073264846
240,d,a,c,a,0.5,0.5,1,e,e,0.5,1,0.5,1,fe,1,0,0,,,,0.5,0.5,0.5,a,a,,,,0.25,0.4,0.5,1,0.666666667,1,0.5,0.25,0,0,0.5,0.5,0.5,1799,__ (906-26) (R74Y122B 29:32-32:44),Ryukyu (Yaeyama),NHK (1944-1994),_________________,906-26,__,blue,0.048969434,-0.149686067
241,ba,,,,,0,1,ea,d,0.5,0,0.5,0.5,ef,0.5,0,0,,,,0,0.5,1,a,a,,,,0.5,0.6,0.75,0.333333333,0.666666667,1,0.5,0.5,0.333333333,0.5,0.5,0.5,0.25,1826,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),1,Song for Harrowing Rice Paddy,purple,0.184445713,0.021600747
242,a,,,,,0.5,1,ea,d,0.5,0,0.5,0.5,ef,1,0.5,0,,,,0,0.5,0.5,a,b,0.5,,,0.25,,0.75,,0.666666667,0,0.5,0.25,0.333333333,0.5,0.5,0.5,0.25,1789,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),3,Song for Rooting-Up Rice Sprouts,purple,0.210196302,-0.061993681
243,ab,,,,,0,0.5,e,a,0.5,0,0.5,0.5,f,0.5,0,0,,,,0.5,0.5,0.5,c,cb,0,1,0.8,0.5,0.6,0.5,0.666666667,0.666666667,0.5,0.5,0.5,0.333333333,0.75,0.5,0.5,0.25,1730,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),7,Song for Planting Rice Sprouts (2),purple,0.120551406,-0.087040226
244,a,,,,,0,1,ec,d,0.5,0,0.5,0.5,fc,1,0,0,,,,0.5,1,0,a,a,,,,0.25,,0.75,,1,0.5,0.5,0.5,0.333333333,0.5,0.5,0.5,0.25,1857,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),8,Song for Planting Rice Sprouts (3),purple,0.193278139,-0.031148933
245,db,b,c,a,0,0.5,0.5,e,e,0.5,0.5,0.5,0.5,fe,0,0.5,0,,,,0.5,0,0,c,cb,0,0.75,0.8,0.5,0.4,0.75,1,0.666666667,0.5,0,0.5,0.333333333,0.75,0.5,0.25,0.5,1741,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),11,Song for Planting Rice Sprouts (6),blue,-0.064899071,-0.113386114
246,bd,a,c,a,0,1,1,e,d,0.5,0,0.5,0.5,fe,0.5,0.5,0,,,,0.5,0.5,0,c,c,0,0.75,0.8,0.75,0.6,0.5,0.666666667,0.666666667,1,0.5,0.5,0.333333333,0.5,0.5,0.25,0.5,1709,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 1 (Farming songs 1),12,Song for Planting Rice Sprouts (7),blue,-0.056141864,-0.130051705
247,a,,,,,0.5,1,e,d,0.5,0,0.5,0.5,fc,1,0.5,1,,,,0,1,0,c,b,0,1,0.4,0.25,,0.75,,0.333333333,0,0.5,0.25,0.666666667,0.75,0.75,0.75,0.75,1708,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 2 (Farming songs 2),3,Song for Weeding Rice Paddy (3),purple,0.211115885,-0.140258909
248,ab,,,,,0.5,1,e,d,0.5,0,0.5,0.5,fe,0.5,0.5,0,,,,0.5,0.5,0.5,c,b,0,0.5,0.6,0.5,0.6,0.75,0.333333333,0.666666667,0.5,1,0.5,0.666666667,0.75,0.75,0.25,0.25,1874,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 2 (Farming songs 2),11,Song for Weeding Rice Paddy (11),purple,0.144236181,-0.107303277
249,d,a,c,b,0,1,0.5,ea,a,0,0,0.5,0.5,fd,0,0.5,0,,,,0.5,0,0,c,c,0,0.75,0.8,0.75,0.4,0.75,0.666666667,0.666666667,0.5,1,0.5,0,0.75,0.5,0.25,0.5,1729,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 3 (Farming songs 3),4,Marching Song After Weeding Rice Paddy (1),red,-0.151219676,-0.077865355
250,a,,,,,0,1,e,d,0.5,0,0.5,1,fe,1,0.5,0.5,a,1,ab,0,1,0.5,ab,b,1,0.75,0.4,0,,0.75,,0.666666667,0.5,0,0.25,0.333333333,0.75,0.75,0.75,0.5,1712,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 3 (Farming songs 3),7,Song for Harvesting Rice,purple,0.262631832,-0.115335553
251,d,a,b,,,1,0.5,ea,d,0.5,0,0.5,0.5,fa,0,0.5,0,,,,0.5,0,1,c,c,0,0.75,0.8,0.75,0.4,0.75,1,0.666666667,0.5,0,0.25,0,0.25,0.25,0.25,0.5,1725,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 3 (Farming songs 3),12,Song for Irrigating Rice Paddy by Scooping,blue,-0.090545833,-0.094436702
252,a,,,,,0,1,e,e,0.5,0,0.5,0.5,c,1,0.5,0,,,,0,0.5,1,a,a,,,,0.5,,0.25,,0.666666667,0.5,0.5,0.5,0.333333333,0.75,0.5,0.5,0.5,1756,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 4 (Farming songs 4),1,Song for Plowing Dry Field,purple,0.200964839,0.0073695
253,ab,,,,,0.5,0.5,e,e,0.5,0.5,0.5,0,f,0,0,0,,,,0.5,0,0,a,a,,,,0.5,0.6,0.5,0.333333333,0.666666667,0.5,1,0.5,0,0.5,0.5,0.5,0.25,1722,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 4 (Farming songs 4),6,Song for Weeding Dry Field,green,0.036985358,0.054159314
254,d,a,c,b,0,1,0,ea,d,0.5,0,0.5,0.5,ab,0,0.5,0,,,,0.5,0,0,c,c,0,0.75,0.8,0.75,0.6,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0.5,0.25,0.25,1748,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 4 (Farming songs 4),11,Song for Threshing Barley (1),red,-0.169635174,-0.07696982
255,d,a,c,b,0,1,0.5,e,d,0.5,0,0.5,0.5,fe,0,0.5,0,,,,0.5,0,0,c,c,0,0.75,0.8,0.75,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,1711,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 4 (Farming songs 4),12,Song for Threshing Barley (2),blue,-0.121786362,-0.10539233
256,a,,,,,0,1,a,,,,0,0,ac,0,0,0,,,,0,0,1,a,b,0.5,,,0.75,,0.75,,0,1,1,0.25,0.333333333,0.5,0.5,0.5,0.25,1657,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 4 (Farming songs 4),17,Song for Chopping up Grass,green,0.11692923,0.110828355
257,d,a,c,b,0,1,0.5,e,d,0.5,0,0.5,0.5,ce,0.5,0.5,0,,,,0.5,0,0,c,c,0.5,0.75,0.8,0.75,0.6,0.75,1,0.666666667,1,0.5,0.5,0.333333333,0.75,0.5,0.5,0.5,1830,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 5 (Fishing songs),6,Song for Hauling Nets (2),blue,-0.112550059,-0.112721114
258,d,b,c,b,0,0.5,0.5,e,d,0.5,0,0.5,0.5,c,0.5,0.5,0,,,,0.5,0.5,0,c,c,0,0.5,0.4,0.75,0.4,0.75,1,0.333333333,1,1,0.5,0.666666667,0.5,0.5,0.25,0.5,1547,,Korean (S. Jeolla),Choi (2000),MBC Hanguk minyo taejon 5 (Fishing songs),13,Song for Scooping up Fish (3),blue,-0.046934106,-0.095835119
259,d,a,c,b,0,1,0.5,e,d,0.5,0,0.5,0,e,0,0.5,0,,,,0.5,0,0,c,c,0,0.5,0.6,0.5,0.6,0.75,1,0.666666667,1,1,0.5,0.666666667,0.5,0.25,0.25,0.5,1796,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 6 (Other working songs 1),2,Song for Hardening Ground of House Site (1),red,-0.144776666,-0.07246741
260,ad,b,c,a,0,0.5,1,e,d,0.5,0,0.5,0,fc,0.5,0.5,0.5,b,,b,0.5,0.5,0.5,c,c,0,0.75,0.4,0.5,0.6,0.75,0.333333333,0.666666667,1,1,0.5,0.333333333,0.75,0.5,0,0.5,1794,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 6 (Other working songs 1),7,Song for Dragging Down Logs,blue,0.014635325,-0.073796281
261,d,a,c,a,0,1,0,e,d,0,0,0,0,ab,0,1,0.5,b,,b,1,0,0,d,c,1,0.75,,0.75,0.6,0.5,1,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.25,0.75,1753,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 6 (Other working songs 1),8,Song for Carrying Logs (1),red,-0.292553083,0.032793238
262,d,a,c,a,0,1,0,e,e,0.5,0,0.5,0,fc,0.5,1,0.5,b,,b,1,0,0,d,c,1,0.75,1,0.75,0.8,0.75,0.666666667,0.666666667,1,0.5,0.5,0.333333333,0.75,0.5,0,0.5,1800,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 6 (Other working songs 1),9,Song for Carrying Logs (2),red,-0.240874226,-0.070507809
263,b,,,,,0.5,0.5,e,d,0.5,0,0.5,0.5,fe,1,0,0,,,,0.5,1,0.5,a,b,0,,,0.5,0.6,0.5,0.333333333,0.666666667,1,1,0.5,0.333333333,0.5,0.5,0.5,0.5,1808,,Korean (Gangwon),Choi (2000),MBC Hanguk minyo taejon 6 (Other working songs 1),11,Work Song/Play Song - Arari (1),purple,0.151685239,-0.063330883
