Song No.,1.Meter,2.No of beats,3.Beat sub-division ,4. No. of sub-beats,5.Syncopation,6.Motivic redundancy ,7.Durational variability ,8.Tonality,9. Mode,10.No. of scale degrees ,11.Hemitonicity ,12.Maximum interval size ,13.Melodic range ,14.Melodic contour ,15.Melisma ,16.Vocables,17. Number of vocal parts ,18.Rhythmic texture ,19.Harmonic interval ,20.Relative contour ,21.Phrase repetition ,22.Phrase length,23.Phrase symmetry,24.Solo/group arrangement ,25.Responsorial relationship ,26. Phrase overlap,(Cantometrics#)5. Tonal blend,6. Rhythmic blend,23. Embellishment,24. Tempo,25. Volume,26. Rubato,28. Glissando,30. Tremolo,31. Glottal shake,32. Register,33.  Vocal width,34. Nasality,35. Rasp,36. Accent,37. Enunciation,CantoCore ID No.,Other comment,Population Name,Recording source,Album Name,Track No.,Song name,Cantogroup,MDS coordinate dimension 1,MDS coordinate dimension 2
16,d,a,c,a,0,1,0,be,d,0,0,0,0,ac,0,0.5,0,,,,0.5,0,0,a,a,,,,1,0.6,0.5,1,0.666666667,1,1,0.25,0,0.5,0.5,0.5,0.5,1702,NHK Ainu 5.4,Ainu (Hokkaido),NHK (1965),_______,36,kakkok kakkok ______,red,-0.164099702,0.069326943
17,d,a,c,b,0,1,0.5,e,d,0.5,0,1,1,f,0.5,1,0,,,,0.5,0.5,0.5,d,a,,0.75,0.8,0.5,0.6,0.5,1,1,0.5,0,0.5,0.666666667,0.5,0.25,0.5,0.75,1481,NHK Ainu 5.7,Ainu (Hokkaido),NHK (1965),_______,39,sucho choy choy na ________,blue,-0.054280253,-0.091472418
18,d,a,c,b,0,1,0,ed,e,0,0,0.5,0.5,fa,0,1,1,b,,b,1,0.5,0,da,c,1,0.5,,0.75,0.6,0.5,1,1,0.5,0,0.5,0,0.25,0.25,0.25,0.75,1727,NHK Ainu 5.8,Ainu (Hokkaido),NHK (1965),_______,40,imo mosiri kayta ______,red,-0.242710119,-0.021871925
19,d,a,c,a,1,1,0.5,e,a,0.5,0,0.5,0.5,fb,0,0,0,,,,1,0,0,c,c,0.5,0.5,0.8,1,0.6,0.5,1,1,0.5,1,0.5,0,0.25,0.25,0.5,0.5,1682,NHK Ainu 5.9,Ainu (Hokkaido),NHK (1965),_______,41,ama sake soro ba _______,red,-0.17093834,-0.126967605
20,d,a,c,a,1,1,0,ea,d,0,0,0.5,0,a,0,0.5,0,,,,1,0,0,a,c,0.5,,,1,0.4,0.5,1,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.5,0.75,1338,NHK Ainu 6.1,Ainu (Hokkaido),NHK (1965),_______,42,ichariko tere kere ______,red,-0.196283288,0.101534264
21,d,a,c,b,0.5,1,0,ea,a,0,0,0.5,0.5,fa,0,0.5,0,,,,1,0.5,0,a,c,0,,,0.75,0.6,0.5,1,0.666666667,0.5,0,0.75,0,0.5,0.25,0.25,0.75,1560,NHK Ainu 6.2,Ainu (Hokkaido),NHK (1965),_______,43,tonoto menoko ______,yellow,-0.144255172,0.022670856
22,d,a,c,b,0.5,1,0,e,a,0.5,0,0.5,0.5,f,0,1,0.5,b,,b,1,0.5,0,d,c,1,0.75,0.8,1,0.4,0.25,1,1,0.5,0,0.5,0.666666667,0.75,0.25,0.5,1,1326,NHK Ainu 6.3,Ainu (Hokkaido),NHK (1965),_______,44,chperikep par yan _______,red,-0.217926206,-0.064873877
23,ab,,,,,0,1,ea,d,0,0,0.5,0,f,0,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.5,0.333333333,1,1,0,0.5,0.333333333,0.25,0.25,0.5,0.75,1350,NHK Ainu 6.4,Ainu (Hokkaido),NHK (1965),_______,45,ya sey iya sano korase ______,green,0.108895411,0.115860015
24,d,a,c,a,0,1,0,ea,a,0,0,0.5,0,ad,0,0.5,0,,,,0,0.5,0.5,a,a,,,,1,0.8,0.25,1,1,1,0.5,0.75,0.333333333,0.5,0.25,0.5,0.5,1515,NHK Ainu 6.7,Ainu (Hokkaido),NHK (1965),_______,48,tena tena kuni ke _______,yellow,-0.109154967,0.081195081
25,d,a,c,a,1,1,0,ea,a,0,0,0,0,a,0,1,0.5,b,,b,1,0,0,d,ca,1,0.5,0.8,0.75,0.6,0.5,1,0.333333333,1,0.5,0.25,0,0.25,0.25,0.5,0.75,1575,NHK Ainu 6.11,Ainu (Hokkaido),NHK (1965),_______,51,kamuy nupki tuy tuy __________,red,-0.255336878,0.054248649
26,d,a,c,b,0.5,1,0.5,ea,d,0.5,0,0.5,0.5,fc,0.5,0.5,0,,,,0.5,0.5,0,a,a,,,,0.5,0.8,0.5,1,0.666666667,0.5,0,0.5,0,0.5,0.25,0.25,0.5,1723,NHK Ainu 7.1,Ainu (Hokkaido),NHK (1965),_______,53,yaysama (umakata sono) _____,yellow,-0.034702892,-0.01508121
27,a,,,,,0.5,0.5,e,e,0.5,0,0.5,0.5,cf,0.5,0,0,,,,0.5,0.5,0.5,a,a,,,,0.25,,0.25,,0.333333333,1,0,0.5,0.333333333,0.25,0.25,0.75,0.5,1666,NHK Ainu 7.2,Ainu (Hokkaido),NHK (1965),_______,54,yaysama _____,purple,0.13041912,0.007354033
28,b,,,,,0.5,0.5,e,d,0.5,0,1,0.5,f,0.5,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.25,0.666666667,1,1,0,0.25,0.333333333,0.5,0.25,0.5,0.75,1320,NHK Ainu 7.4,Ainu (Hokkaido),NHK (1965),_______,56,hore hore ______,green,0.083894743,0.022153905
29,d,a,c,b,0.5,1,0,ea,a,0,0,1,0.5,f,0,0.5,0,,,,1,0.5,0,a,a,,,,0.75,0.8,0.5,0.666666667,0.666666667,1,0,0.75,0,0.5,0.25,0.5,0.5,1459,NHK Ainu 8.1,Ainu (Hokkaido),NHK (1965),_______,57,wa ori ______,yellow,-0.104115945,0.045266828
30,d,a,c,a,0,1,0.5,e,d,0.5,0,0.5,0.5,f,0,0.5,0,,,,1,0,0,a,a,,,,1,0.8,0.5,1,1,1,1,0.5,0.333333333,0.5,0.25,0.5,0.5,1465,NHK Ainu 8.2,Ainu (Hokkaido),NHK (1965),_______,58,han kiri kiri ______,yellow,-0.119053294,-0.013145195
31,d,a,c,a,0.5,1,0,ea,a,0,0,0.5,0,f,0,1,1,b,,b,1,0,0,d,c,1,0.75,0.8,0.75,0.6,0.5,1,0.666666667,1,0.5,0.5,0.333333333,0.5,0.25,0.5,0.75,2233,,Ainu (Sakhalin),NHK (1951),________,17.1c,___ Hechiri _____,red,-0.264626491,-0.001495113
32,d,a,c,a,0.5,1,0.5,ea,d,0.5,0,0.5,0,fc,0,1,0.5,b,,b,1,0,0,c,c,1,0.75,0.8,0.75,0.6,0.5,1,1,1,1,0.5,0.333333333,0.5,0.5,0.25,0.5,2234,,Ainu (Sakhalin),NHK (1951),________,17.2b,___ Hechiri _____,red,-0.226189062,-0.052742266
33,ab,,,,,0.5,1,e,d,0.5,0,0.5,1,ef,0.5,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.5,0.6,0.5,,1,1,0.5,0.25,0.333333333,0.25,0.5,0.5,0.25,2261,,Ainu (Sakhalin),NHK (1951),________,19.2,______ Yaykatekar ___,purple,0.139403978,-0.04802649
34,a,,,,,0,0.5,a,,,,0,0,ac,0,0,0,,,,0,0,0.5,a,a,,,,1,0.6,0.75,,0.333333333,1,1,0.75,0.333333333,0.5,0.5,0.5,0.25,2235,,Ainu (Sakhalin),NHK (1951),________,20.3,_____ Tuitak ____,green,0.050305976,0.215603582
35,a,,,,,0,1,ea,d,0,0,0.5,0,f,0,0,0,,,,0,0.5,0.5,a,a,,,,0.75,0.6,0.5,,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.5,0.75,2236,,Ainu (Sakhalin),NHK (1951),________,21.1a,___ Hawki (______,green,0.107822066,0.162376324
36,a,,,,,0,1,ea,d,0,0,0.5,0,f,0,0,0,,,,0,0.5,0.5,a,a,,,,0.75,0.6,0.5,,0.666666667,0.5,0,0.75,0.333333333,0.5,0.25,0.5,0.75,2237,,Ainu (Sakhalin),NHK (1951),________,21.1b,___ Hawki (______,green,0.107822066,0.162376324
37,a,,,,,0,1,ea,d,0,0,0.5,0,f,0,0,0,,,,0,0.5,0.5,a,a,,,,0.75,0.6,0.5,,0.666666667,1,0,0.75,0.333333333,0.5,0.25,0.5,0.5,2238,,Ainu (Sakhalin),NHK (1951),________,22.1,___ Hawki (______,green,0.102397391,0.142279673
38,a,,,,,0,1,ea,d,0,0,0.5,0,f,0.5,0,0,,,,0,0.5,0.5,a,a,,,,0.75,0.6,0.5,,0.666666667,1,0,0.75,0.333333333,0.5,0.25,0.5,0.5,2239,,Ainu (Sakhalin),NHK (1951),________,23.1,___ Hawki (______,green,0.126195054,0.117839393
39,a,,,,,0,0.5,a,,,,0,0,ac,0,0,0,,,,0,0,0.5,a,a,,,,1,0.4,0.75,,0.333333333,1,1,0.5,0.333333333,0.75,0.5,0.75,0.25,2240,_______,Ainu (Sakhalin),NHK (1951),________,24.1a,_______ Inonno-itak _______________,green,0.061530394,0.214553035
40,a,,,,,0,0.5,a,,,,0,0,ac,0,0,0,,,,0,0,0.5,a,a,,,,1,0.4,0.75,,0.333333333,1,1,0.5,0.333333333,0.5,0.5,0.5,0.25,2241,,Ainu (Sakhalin),NHK (1951),________,24.1b,_______ Inonno-itak ___________,green,0.05465017,0.201908698
41,a,,,,,0.5,0.5,ea,a,0,0,0.5,0,f,0,0.5,0,,,,0.5,0.5,0.5,a,a,,,,0.75,0.6,0.5,,0.666666667,1,0,0.5,0.333333333,0.5,0.25,0.5,0.5,2242,,Ainu (Sakhalin),NHK (1951),________,24.2,_________ Tapkar-Yukar _____,green,0.05000294,0.106219143
42,ad,a,c,b,0,0,0.5,ae,a,0.5,0,0.5,0,af,0,0,0,,,,1,0,0,a,a,,,,1,0.6,0.75,,0.666666667,1,0.5,0.25,0.333333333,0.5,0.5,0.5,0.25,2243,,Ainu (Sakhalin),NHK (1951),________,26.1,_____ Tuitak ____,yellow,-0.044243397,0.0538596
43,d,a,c,b,0.5,1,0,ed,a,0,0.5,0.5,0,fa,0,1,1,b,,b,1,0,0,a,c,1,0.5,0.8,1,0.8,0.5,1,0.666666667,1,1,0,0,0.25,0.25,0.25,1,2244,,Ainu (Sakhalin),NHK (1951),________,27.1a,_____ Rekuxkara ______,red,-0.268428363,0.041769155
